# time already scaled back by lambda=20.
rep	mean_root_age	sample_seed	num_roots	root_ages
865	680.0	130779145	12	360.0,760.0,920.0
453	684.0	766900242	10	860.0,740.0,480.0,500.0,840.0
371	685.0	1752079759	13	980.0,80.0,560.0,1120.0
751	685.0	265237465	7	1500.0,680.0,500.0,60.0
0	686.6666666666666	123	9	80.0,960.0,1020.0
29	686.6666666666666	750771675	7	880.0,800.0,380.0
348	686.6666666666666	2867566006	9	1060.0,520.0,40.0,180.0,1120.0,1200.0
714	686.6666666666666	556011054	9	1040.0,160.0,860.0
722	686.6666666666666	3720299339	10	1100.0,260.0,880.0,1260.0,340.0,280.0
969	686.6666666666666	4070546308	8	480.0,480.0,1100.0
988	686.6666666666666	1494078179	10	340.0,1080.0,640.0
84	688.0	890249236	9	160.0,920.0,840.0,320.0,1200.0
465	688.0	2884233895	10	1060.0,1000.0,880.0,200.0,300.0
49	690.0	3462723769	11	1040.0,620.0,340.0,760.0
102	690.0	1522302157	11	1120.0,920.0,20.0,700.0
335	690.0	3629961422	7	400.0,920.0,900.0,540.0
514	690.0	41543406	10	560.0,380.0,1040.0,780.0
582	690.0	538080877	11	180.0,1200.0
775	690.0	213180506	9	1020.0,480.0,360.0,900.0
887	692.0	831868098	10	1200.0,1080.0,400.0,80.0,700.0
191	693.3333333333334	207740920	9	1060.0,500.0,520.0
451	693.3333333333334	3066003339	10	920.0,940.0,220.0
683	693.3333333333334	3107583521	9	780.0,200.0,1100.0
941	693.3333333333334	2543322296	5	1000.0,440.0,640.0
464	694.2857142857143	673257269	10	1400.0,540.0,660.0,1020.0,120.0,40.0,1080.0
883	695.0	1707534564	10	60.0,1080.0,460.0,1180.0
916	695.0	2190477023	12	180.0,200.0,1580.0,820.0
122	696.0	3949094064	10	1240.0,860.0,820.0,380.0,180.0
252	696.0	1189573419	10	320.0,980.0,60.0,780.0,1340.0
285	696.0	3128671367	8	1280.0,20.0,900.0,260.0,1020.0
40	700.0	867799189	8	260.0,1060.0,420.0,1060.0
192	700.0	3262138074	7	200.0,980.0,1060.0,960.0,300.0
261	700.0	729509997	9	1040.0,360.0
492	700.0	1949733279	8	580.0,1120.0,400.0
623	700.0	4141742604	9	420.0,980.0
631	700.0	3396899816	13	700.0,700.0
670	700.0	3918318172	15	700.0
161	704.0	2611131515	11	1000.0,560.0,500.0,800.0,660.0
662	705.0	3110574874	11	300.0,200.0,1120.0,1200.0
990	705.0	919795810	11	320.0,840.0,800.0,860.0
456	706.6666666666666	123379084	12	260.0,760.0,1100.0
508	708.0	3174859973	11	760.0,120.0,940.0,800.0,920.0
300	710.0	1193301457	10	960.0,1040.0,660.0,180.0
402	710.0	735669597	9	60.0,1000.0,1280.0,580.0,320.0,1020.0
517	710.0	3827724709	8	240.0,1180.0
562	710.0	2579765317	10	1020.0,400.0
691	710.0	1993111204	8	500.0,920.0
36	713.3333333333334	1771225731	10	460.0,960.0,720.0
486	713.3333333333334	3120141564	9	200.0,860.0,1080.0
